ID,Name,Founded_Year,Country,Studio_Type,Replay_Rate,Years_Active,Maturity_Level
78,APLUS Co.,1985,France,Mid-tier,0.631,40,Veteran
79,APh Technological Consulting,1975,Finland,Indie,0.368,50,Veteran
80,AQ Interactive,1975,France,AAA,0.757,50,Veteran
81,ART,1999,Finland,Indie,0.843,26,Established
82,ARVI VR,2006,Canada,Indie,0.438,19,Established
83,ARVORE Immersive Experiences,2017,Sweden,Indie,0.716,8,Emerging
84,AWE Games,1998,South Korea,Mobile,0.629,27,Established
85,AWE Productions,2001,United States,Indie,0.513,24,Established
86,AZAMATIKA,2012,United States,Indie,0.537,13,Emerging
87,Abrakam,2013,Sweden,Indie,0.463,12,Emerging
88,Absolute Entertainment,1992,United States,Indie,0.653,33,Veteran
89,Abstract Digital works,2000,United States,AAA,0.781,25,Established
90,Abstraction Games,1997,Canada,Indie,0.612,28,Established
91,Abstrax,1990,Sweden,Indie,0.419,35,Veteran
92,Access Games,1998,United States,Mobile,0.629,27,Established
93,Access Software,1990,Sweden,Indie,0.836,35,Veteran
94,Accidental Queens,2012,United States,Indie,0.498,13,Emerging
95,Acclaim,1985,Finland,Indie,0.676,40,Veteran
96,Acclaim Black Team,2009,Canada,Indie,0.394,16,Established
97,Acclaim Cheltenham,1997,Sweden,Indie,0.323,28,Established
98,Acclaim Entertainment,2000,United Kingdom,Indie,0.717,25,Established
99,Acclaim Studios Austin,1996,Canada,Indie,0.56,29,Established
100,Acclaim Studios Manchester,1999,United States,Indie,0.491,26,Established
101,Acclaim Studios Salt Lake City,1996,Sweden,Indie,0.34,29,Established
102,Acclaim Studios Teesside,2001,Finland,Indie,0.837,24,Established
103,Accolade,1980,Finland,Indie,0.536,45,Veteran
104,Ace Maddox,2015,Finland,Indie,0.777,10,Emerging
105,Acid Nerve,2012,United Kingdom,Indie,0.496,13,Emerging
106,Acid Software,1991,United States,Mid-tier,0.802,34,Veteran
107,Ackk Studios,2019,United States,Indie,0.671,6,Emerging
108,Act 3 Games,2015,South Korea,Mobile,0.6,10,Emerging
109,Action Forms Ltd.,1998,United States,Indie,0.605,27,Established
110,Action Graphics,2009,Canada,Indie,0.772,16,Established
111,Active Enterprises,2007,Sweden,Indie,0.413,18,Established
112,Active Gaming Media,2020,Finland,Indie,0.327,5,Emerging
113,Activision,1979,United States,AAA,0.72,46,Veteran
114,Activision Shanghai,1979,United States,AAA,0.946,46,Veteran
115,Activision Value,1979,United States,AAA,0.83,46,Veteran
116,Adam Gryu,2015,Finland,Indie,0.529,10,Emerging
117,Adeline Software International,1989,Finland,Indie,0.803,36,Veteran
118,Adept Software,1989,United Kingdom,Indie,0.425,36,Veteran
119,Adhesive Games,1985,United Kingdom,Mid-tier,0.805,40,Veteran
120,Adrenalin Entertainment,1991,United Kingdom,Indie,0.648,34,Veteran
121,Adrenium Games,1999,Japan,Mobile,0.705,26,Established
122,Advance Communication Company,1987,Sweden,Indie,0.67,38,Veteran
123,Advance Reality Interactive,1996,Finland,Indie,0.769,29,Established
124,Adventure International,1980,Canada,Indie,0.416,45,Veteran
125,Adventure Soft,1994,United Kingdom,Indie,0.499,31,Veteran
126,Aeon Electronic Entertainment,1990,Germany,Mid-tier,0.797,35,Veteran
127,Affect,1994,Finland,Indie,0.499,31,Veteran
128,Aftermath Media,1996,United States,Indie,0.51,29,Established
129,Afterthought Games,2013,Japan,Mobile,0.653,12,Emerging
130,Against gravity,2013,United States,Indie,0.693,12,Emerging
131,Agatsuma,2015,Japan,Mobile,0.656,10,Emerging
132,Aicom,1986,United States,Indie,0.78,39,Veteran
133,Aidem Media,1998,Finland,Indie,0.368,27,Established
134,Aiming Inc.,2021,Canada,Indie,0.507,4,Emerging
135,Airdorf Games,2016,China,Mobile,0.812,9,Emerging
136,Airship Syndicate,2012,Canada,Indie,0.65,13,Emerging
137,Airtight Games,2007,Japan,Mobile,0.697,18,Established
138,Aiyou Interactive Entertainment,2017,Sweden,Indie,0.518,8,Emerging
139,Akatsuki Inc.,2021,Sweden,Indie,0.399,4,Emerging
140,Akella,1995,Finland,Indie,0.46,30,Veteran
141,Al Baker & Associates,1990,United Kingdom,Mid-tier,0.522,35,Veteran
142,Alasdair Beckett-King,2003,United Kingdom,Mobile,0.747,22,Established
143,Alawar,2006,Canada,Indie,0.595,19,Established
144,Alawar Friday's Games,2013,Germany,Mid-tier,0.697,12,Emerging
145,Alcachofa Soft,2004,United Kingdom,Indie,0.739,21,Established
146,Alexander Bruce,2012,Finland,Indie,0.719,13,Emerging
147,"Alexander Shafto ""Sandy"" Douglas",2012,Finland,Indie,0.745,13,Emerging
148,Alexandria Inc,1992,United Kingdom,Indie,0.739,33,Veteran
149,Alexey Pajitnov,2015,Finland,Indie,0.406,10,Emerging
150,Alfa System,1989,Finland,Indie,0.513,36,Veteran
151,Alientrap Games Inc,2014,China,Mobile,0.685,11,Emerging
152,Alike Studio,2015,Sweden,Indie,0.589,10,Emerging
153,Alim,2012,United States,Indie,0.306,13,Emerging
154,All Seeing Eye Games,2016,Finland,Mobile,0.503,9,Emerging
155,Allods Team,2007,United States,Indie,0.4,18,Established
156,Almanic,1991,Canada,Indie,0.821,34,Veteran
157,Almanic Corporation,1988,Canada,Indie,0.554,37,Veteran
158,Almost Human Ltd.,2010,Finland,Indie,0.603,15,Established
159,Alpha Denshi,1977,United States,Indie,0.391,48,Veteran
160,AlphaDream,2006,Sweden,Indie,0.357,19,Established
161,Altron,2000,United States,Indie,0.679,25,Established
162,Altron Corporation,2000,United Kingdom,Indie,0.75,25,Established
163,Alysson da Paz,2021,United Kingdom,Indie,0.783,4,Emerging
164,Amanita Design,1998,Sweden,Indie,0.422,27,Established
165,Amaweks,2015,Sweden,Indie,0.82,10,Emerging
166,Amaze Entertainment,2002,United Kingdom,Indie,0.765,23,Established
167,Amazing Inc,2015,United States,Indie,0.502,10,Emerging
168,Amazon Game Studios,2013,Finland,Indie,0.482,12,Emerging
169,Amblin Entertainment,2010,Germany,Mid-tier,0.673,15,Established
170,Ambrella,1995,United States,Indie,0.463,30,Veteran
171,Ambrosia Software,2001,United States,Indie,0.848,24,Established
172,American Laser Games,1992,South Korea,Mobile,0.737,33,Veteran
173,Amistech Games,2014,Japan,Mobile,0.523,11,Emerging
174,Ammolite,2011,Sweden,Indie,0.492,14,Emerging
175,Amplitude Studios,2009,United Kingdom,Indie,0.384,16,Established
176,Amrita Studio,2017,United States,Indie,0.802,8,Emerging
177,Amusement Vision,1999,Canada,Indie,0.622,26,Established
178,Amuze,1999,United States,Indie,0.716,26,Established
179,Analgesic Productions,2010,Finland,Indie,0.569,15,Established
180,Anarchy Enterprises,2018,United States,Indie,0.445,7,Emerging
181,Anchor Inc,2001,United States,Indie,0.399,24,Established
182,Ancient,1989,Canada,Indie,0.354,36,Veteran
183,Anco,2002,Sweden,Indie,0.482,23,Established
184,Andrew Shouldice,2019,Sweden,Indie,0.8,6,Emerging
185,Angel,1991,United Kingdom,Indie,0.653,34,Veteran
186,Angel Studios,1998,Sweden,Indie,0.769,27,Established
187,Angelsoft,1980,Finland,Indie,0.538,45,Veteran
188,Angry Demon Studio,2016,Finland,Indie,0.648,9,Emerging
189,Anim-X,1998,Canada,Indie,0.598,27,Established
190,Anima Project,2013,Canada,Indie,0.415,12,Emerging
191,AnimaTek,2013,Canada,Indie,0.539,12,Emerging
192,Animation Arts,2010,Finland,Indie,0.558,15,Established
193,Animation Magic,1992,Finland,Indie,0.574,33,Veteran
194,Ankama,2010,Canada,Indie,0.559,15,Established
195,Ankama Games,2000,Finland,Mobile,0.651,25,Established
196,Another Ltd.,1987,United Kingdom,Indie,0.519,38,Veteran
197,Anshar Studios,2002,Sweden,Indie,0.326,23,Established
198,Ant.Karlov,2006,United States,Indie,0.658,19,Established
199,Antimatter Games,2002,United States,Indie,0.372,23,Established
200,Anuman Interactive,1996,Finland,Indie,0.525,29,Established
201,Anvil Game Studios,2015,United States,Indie,0.497,10,Emerging
202,Any Channel,1994,Canada,Indie,0.615,31,Veteran
203,Ape,2014,Canada,Indie,0.66,11,Emerging
204,Apeiron Studios,2003,United States,Indie,0.501,22,Established
205,Aperture Tag Team,2012,Sweden,Indie,0.47,13,Emerging
206,Apogee Software,1990,United States,Indie,0.463,35,Veteran
207,Appaloosa Interactive,1992,Sweden,Indie,0.376,33,Veteran
208,Appci,2008,Japan,Mobile,0.418,17,Established
209,Appeal Studios,2015,Sweden,Indie,0.619,10,Emerging
210,Applava,2014,Sweden,Indie,0.402,11,Emerging
211,Aquaplus,2011,United States,Indie,0.708,14,Emerging
212,Aquiris Game Studio,2015,Sweden,Indie,0.515,10,Emerging
213,Aquria,2012,United States,Indie,0.574,13,Emerging
214,Arbitrarily Good Productions,2000,Sweden,Indie,0.372,25,Established
215,Arbitrary Metric,2015,United Kingdom,Indie,0.755,10,Emerging
216,Arc Developments,1987,Canada,Indie,0.546,38,Veteran
217,Arc System Works,1999,Canada,Indie,0.597,26,Established
218,Arcade Engineering,1977,United States,Indie,0.64,48,Veteran
219,Arcadia Systems,2006,Sweden,Indie,0.584,19,Established
220,Arcadim,1998,Sweden,Indie,0.449,27,Established
221,Arcane Kids,2011,United Kingdom,Indie,0.267,14,Emerging
222,Archosaur Games,2017,Finland,Mobile,0.722,8,Emerging
223,Arcturus Studios Inc,2013,United States,Indie,0.832,12,Emerging
224,ArenaNet,2004,Canada,Indie,0.448,21,Established
225,Ares Dragonis,2019,United States,Indie,0.325,6,Emerging
226,Argonaut Games,1993,South Korea,Mobile,0.712,32,Veteran
227,Argonaut Software,1991,United Kingdom,Indie,0.267,34,Veteran
228,Arika,1991,Sweden,Indie,0.407,34,Veteran
229,Arkadium,2009,Canada,Indie,0.524,16,Established
230,Arkalis Interactive,2013,United States,Mid-tier,0.51,12,Emerging
231,Arkane Studios,1998,France,Mid-tier,0.725,27,Established
232,Arkedo Studio,2009,Sweden,Indie,0.537,16,Established
233,Armature Studio,2011,Finland,Indie,0.741,14,Emerging
234,Armor Games,1996,Canada,Indie,0.725,29,Established
235,Armor Project,1974,United States,AAA,0.922,51,Veteran
236,Arrowhead Game Studios,2010,Sweden,Indie,0.54,15,Established
237,"Arsi ""Hakita"" Patala",2018,Sweden,Indie,0.499,7,Emerging
238,Arsys Software,2013,United Kingdom,Mid-tier,0.797,12,Emerging
239,ArtPlay,2017,Canada,Indie,0.701,8,Emerging
240,Artdink,1989,Sweden,Indie,0.667,36,Veteran
241,ArtePiazza,1984,United States,AAA,0.786,41,Veteran
242,Artech,1984,Canada,Indie,0.368,41,Veteran
243,Artech Studios,1993,United States,Indie,0.542,32,Veteran
244,Artefacts Studio,2004,Finland,Indie,0.552,21,Established
245,Artifex Mundi,2009,United States,Indie,0.635,16,Established
246,Artificial Hair Brothers,2004,Finland,Indie,0.799,21,Established
247,Artificial Mind & Movement,1997,Finland,Indie,0.464,28,Established
248,Artificial Mind and Movement,2001,United Kingdom,Indie,0.373,24,Established
249,Artificial Studios,2012,Finland,Indie,0.519,13,Emerging
250,Artisan Studios,2020,Sweden,Indie,0.448,5,Emerging
251,Artix Entertainment,2003,United Kingdom,Indie,0.518,22,Established
252,Artoon,1999,Finland,Indie,0.516,26,Established
253,Arxel Tribe,1993,Sweden,Indie,0.766,32,Veteran
254,Arzest,2009,Canada,Indie,0.322,16,Established
255,Ascaron Entertainment,1997,United Kingdom,Indie,0.69,28,Established
256,Ashby Computers and Graphics Ltd.,1983,Finland,Indie,0.765,42,Veteran
257,Askiisoft,2016,Canada,Indie,0.759,9,Emerging
258,Asmik Ace Entertainment,1985,Japan,Mid-tier,0.691,40,Veteran
259,Asobo Studio,2002,Sweden,Indie,0.568,23,Established
260,Aspect,1988,United States,Indie,0.632,37,Veteran
261,Aspyr Media,2002,Sweden,Indie,0.805,23,Established
262,Asteroid Base,2013,Finland,Indie,0.748,12,Emerging
263,Asteroid Lab,2020,Canada,Indie,0.45,5,Emerging
264,AstralShift,2011,Finland,Indie,0.598,14,Emerging
265,Astrovision,1995,Finland,Indie,0.665,30,Veteran
266,Astrum Entertainment,1971,Canada,AAA,0.885,54,Veteran
267,Asylum Entertainment,2002,United States,Indie,0.614,23,Established
268,Asylum Entertainment Ltd.,1991,Japan,AAA,0.803,34,Veteran
269,Asymmetric,2014,United States,Indie,0.686,11,Emerging
270,Atari,1970,Sweden,Indie,0.403,55,Veteran
271,Atari Corporation,1986,Canada,Indie,0.33,39,Veteran
272,Atari Games,1981,China,Mobile,0.659,44,Veteran
273,Atari Interactive,1998,United Kingdom,Indie,0.33,27,Established
274,Atelier 801,2006,Finland,Indie,0.407,19,Established
275,Atelier Double,1990,Canada,Indie,0.55,35,Veteran
276,Athena,1989,United Kingdom,Indie,0.768,36,Veteran
277,Atlantis Interactive Entertainment,2004,United States,Indie,0.66,21,Established
278,Atlus,1982,Canada,Indie,0.782,43,Veteran
279,Atmos Games,2012,Sweden,Indie,0.752,13,Emerging
280,AtomTeam,2000,Sweden,Indie,0.719,25,Established
281,Atomic Games,1993,United States,Mobile,0.716,32,Veteran
282,Atomic Planet Entertainment,2001,United Kingdom,Indie,0.353,24,Established
283,Atomicom,2012,United States,Indie,0.409,13,Emerging
284,Atooi,1998,United States,AAA,0.75,27,Established
285,Attention To Detail,1991,United Kingdom,Indie,0.378,34,Veteran
286,Audio Visual Magic,2019,United States,Indie,0.343,6,Emerging
287,Audiogenic,1980,Japan,AAA,0.948,45,Veteran
288,Auran,1993,United States,Indie,0.365,32,Veteran
289,Automata Source,2017,Sweden,Indie,0.798,8,Emerging
290,Avalanche Software,1995,Sweden,Indie,0.664,30,Veteran
291,Avalanche Studios,2005,Sweden,Indie,0.646,20,Established
292,Avalon Style Entertainment,2002,Finland,Indie,0.411,23,Established
293,Avit,2002,United Kingdom,Mid-tier,0.821,23,Established
294,AvoCavo,2013,Finland,Indie,0.371,12,Emerging
295,Ayyo Games,2013,South Korea,Mobile,0.742,12,Emerging
296,Aza Game Studio,2017,United Kingdom,Indie,0.714,8,Emerging
297,B.B Studio,2015,Sweden,Indie,0.404,10,Emerging
298,B.B. Studio,2016,United Kingdom,Indie,0.485,9,Emerging
299,BAM! Entertainment,2005,United States,AAA,0.707,20,Established
300,BANDAI NAMCO Games Inc,2010,Japan,Mobile,0.528,15,Established
301,BAP Interactive,1990,Sweden,Indie,0.207,35,Veteran
302,BBC,2002,United Kingdom,Indie,0.723,23,Established
303,BEC,1997,Sweden,Indie,0.605,28,Established
304,BKOM Studios,2015,Sweden,Indie,0.476,10,Emerging
305,BLits Games,2019,China,Mobile,0.661,6,Emerging
306,BMB,2012,Sweden,Indie,0.367,13,Emerging
307,BOLT,1989,Japan,Mid-tier,0.721,36,Veteran
308,BOOTDISK REVOLUTION,2012,United Kingdom,Indie,0.657,13,Emerging
309,BUG-Studio,2016,Sweden,Indie,0.646,9,Emerging
310,Baba Yaga Games,1989,United States,Mid-tier,0.735,36,Veteran
311,BabaYegha,2018,United States,Indie,0.72,7,Emerging
312,Babylon,2002,Canada,Indie,0.561,23,Established
313,Backbone Emeryville,2000,Sweden,Indie,0.336,25,Established
314,Backbone Entertainment,2001,Canada,Indie,0.61,24,Established
315,Backflip Studios,2006,Finland,Indie,0.733,19,Established
316,Backwoods Entertainment,2017,Finland,Indie,0.498,8,Emerging
317,Bad Robot Interactive,2011,United Kingdom,Indie,0.377,14,Emerging
318,Bagenzo,2020,United Kingdom,Indie,0.743,5,Emerging
319,Bally Midway,1978,Canada,Indie,0.449,47,Veteran
320,Bally Sente Inc.,2008,United Kingdom,AAA,0.801,17,Established
321,Bamtang Games,2017,United States,Mobile,0.621,8,Emerging
322,Banana Development,1986,United Kingdom,Indie,0.529,39,Veteran
323,Bandai,1981,Japan,Indie,0.821,44,Veteran
324,Bandai Namco Entertainment,2015,Japan,Indie,0.698,10,Emerging
325,Bandai Namco Forge Digitals,2023,Japan,Indie,0.625,2,Emerging
326,Bandai Namco Games,2014,Japan,Mobile,0.751,11,Emerging
327,Bandai Namco Studios,2010,Japan,Indie,0.469,15,Established
328,Banpresto,1990,United Kingdom,Indie,0.566,35,Veteran
329,Banzai Games,2013,Japan,Mobile,0.765,12,Emerging
330,Barbarian,2014,United Kingdom,Indie,0.466,11,Emerging
331,Barking Dog,2003,United Kingdom,Mobile,0.558,22,Established
332,Barking Lizards Technologies,2003,United Kingdom,Mobile,0.699,22,Established
333,Baroque Decay,2014,Canada,Indie,0.568,11,Emerging
334,Basecamp Games,2014,South Korea,Mobile,0.537,11,Emerging
335,Bashira,2010,United Kingdom,Indie,0.694,15,Established
336,Basically,2014,United States,Indie,0.796,11,Emerging
337,Batterystaple Games,2012,France,Mid-tier,0.796,13,Emerging
338,Beam Software,1981,Sweden,Indie,0.361,44,Veteran
339,Beam Software Pty.,2014,United Kingdom,Mid-tier,0.558,11,Emerging
340,Beam Team Games,2011,Finland,Mobile,0.69,14,Emerging
341,BeamNG,2013,United Kingdom,Indie,0.694,12,Emerging
342,Beamdog,2011,Finland,Indie,0.533,14,Emerging
343,Beast Games,2009,Japan,Mobile,0.396,16,Established
344,Beat Games,2017,United States,Mobile,0.649,8,Emerging
345,BeautiFun Games,2011,China,Mobile,0.438,14,Emerging
346,Beautiful Glitch,2019,Finland,Indie,0.685,6,Emerging
347,Beavis Soft,1989,Canada,Indie,0.517,36,Veteran
348,Beeline Interactive,2013,United Kingdom,Indie,0.538,12,Emerging
349,Beenox,2006,Canada,Indie,0.361,19,Established
350,Beep Industries,1999,United States,Indie,0.537,26,Established
351,Beeswax Games,2010,China,Mobile,0.437,15,Established
352,Beethoven & Dinosaur,2017,United Kingdom,Indie,0.626,8,Emerging
353,Behaviour Interactive,1994,Sweden,Indie,0.746,31,Veteran
354,Behaviour Santiago,2010,Finland,Indie,0.249,15,Established
355,Behold Studios,2014,Finland,Indie,0.653,11,Emerging
356,Beijing Perfect World,1999,United States,Indie,0.55,26,Established
357,Bell Corporation,1992,Canada,Indie,0.709,33,Veteran
358,Bemani,2007,Sweden,Indie,0.529,18,Established
359,"Ben ""Yahtzee"" Croshaw",2001,United States,Indie,0.757,24,Established
360,Ben Esposito,2020,Canada,Indie,0.621,5,Emerging
361,Bennett Foddy,2007,Finland,Indie,0.749,18,Established
362,Bertheussen IT,2010,United States,Indie,0.627,15,Established
363,Berzerk Studio,2015,Finland,Indie,0.431,10,Emerging
364,Best Way,2001,United Kingdom,Indie,0.521,24,Established
365,BetaDwarf,2020,Canada,Indie,0.572,5,Emerging
366,Bethesda Game Studios,1986,United States,AAA,0.75,39,Veteran
367,Bethesda Softworks,1986,United States,AAA,0.764,39,Veteran
368,Beyond Games,1997,Japan,Mobile,0.622,28,Established
369,Biba Ventures,2016,United States,Indie,0.516,9,Emerging
370,Big Ant Studios,2012,Finland,Indie,0.594,13,Emerging
371,Big Ape Productions,1996,United States,Indie,0.795,29,Established
372,Big Bad Wolf,2015,United States,Indie,0.407,10,Emerging
373,Big Bang,1996,United States,Indie,0.207,29,Established
374,Big Blue Box,2006,United States,AAA,0.788,19,Established
375,Big Blue Bubble,2001,Canada,Indie,0.431,24,Established
376,Big Blue Dot,1992,United States,Indie,0.408,33,Veteran
377,Big Deez Productions,2007,Canada,Indie,0.719,18,Established
378,Big Finish Games,2013,China,Mobile,0.625,12,Emerging
379,Big Fish Studios,2000,Finland,Indie,0.685,25,Established
380,Big Head Games,2007,Japan,Mobile,0.545,18,Established
381,Big Huge Games,2002,South Korea,Mobile,0.696,23,Established
382,Big Red Button,2012,Canada,Indie,0.693,13,Emerging
383,Big Robot Ltd,2011,United States,Indie,0.562,14,Emerging
384,Big Sandwich Games,2008,China,Mobile,0.539,17,Established
385,Big Time Software,1998,United Kingdom,Indie,0.534,27,Established
386,Big Top Productions,1995,United Kingdom,Indie,0.405,30,Veteran
387,BigBeanDotGov,2008,Sweden,Indie,0.669,17,Established
388,BigPark,2008,United Kingdom,Indie,0.464,17,Established
389,Bigbig Studios,2019,United States,Indie,0.491,6,Emerging
390,Bigpoint Berlin,2009,Finland,Indie,0.725,16,Established
391,Billy Goat Entertainment,2014,Canada,Indie,0.303,11,Emerging
392,Binary Asylum,2006,United States,Mobile,0.734,19,Established
393,BioWare,2001,Canada,AAA,0.808,24,Established
394,BioWare Austin,2009,Sweden,Indie,0.488,16,Established
395,BioWare Edmonton,2007,Sweden,Indie,0.43,18,Established
396,BioWare Montréal,2009,Sweden,Indie,0.739,16,Established
397,Bird Studio,2006,United States,Indie,0.374,19,Established
398,Bit Byterz,2012,United Kingdom,Indie,0.621,13,Emerging
399,Bit Managers,1996,Finland,Indie,0.465,29,Established
400,BitFinity,2014,Sweden,Indie,0.695,11,Emerging
401,BitGroove,2008,Canada,Indie,0.406,17,Established
402,Bithell Games,2008,Japan,Mobile,0.487,17,Established
403,Bitmap Bureau,2017,United Kingdom,Indie,0.357,8,Emerging
404,Bitmen Studios,2013,Finland,Indie,0.59,12,Emerging
405,Bits Studios,1990,Finland,Indie,0.786,35,Veteran
406,Bizarre Creations,1996,United Kingdom,Indie,0.478,29,Established
407,Black Box Games,2000,Finland,Mobile,0.822,25,Established
408,Black Dragon Productions,1992,United States,Indie,0.625,33,Veteran
409,Black Element Software,1999,United States,Indie,0.607,26,Established
410,Black Eyed Priest,2000,United States,Mid-tier,0.706,25,Established
411,Black Forest Games,2009,Japan,Mobile,0.702,16,Established
412,Black Hole Entertainment,2000,Sweden,Indie,0.802,25,Established
413,Black Isle Studios,1995,Finland,Indie,0.593,30,Veteran
414,Black Lab Games,2012,United States,Mobile,0.708,13,Emerging
415,Black Lantern Studios,2006,United States,Indie,0.7,19,Established
416,Black Ops Entertainment,2000,Sweden,Indie,0.649,25,Established
417,Black Rock Studios,2007,Canada,Indie,0.415,18,Established
418,Black Sea Studios,2003,Finland,Indie,0.661,22,Established
419,Blackbird Interactive,2013,United States,Indie,0.727,12,Emerging
420,Blacklight Interactive,2012,Sweden,Indie,0.566,13,Emerging
421,Blackmill Games,1986,United Kingdom,Mid-tier,0.739,39,Veteran
422,Blackpowder Games,2010,United States,Mobile,0.446,15,Established
423,Blade Interactive,2004,United States,Indie,0.344,21,Established
424,Blastmode,1999,France,AAA,0.721,26,Established
425,Blaze Epic,2018,Sweden,Indie,0.591,7,Emerging
426,Blazing Griffin,2017,United States,Indie,0.769,8,Emerging
427,Bleakmill,2022,United Kingdom,Indie,0.515,3,Emerging
428,Blendo Games,2008,China,Mobile,0.537,17,Established
429,Blimey! Games,2004,China,Mobile,0.786,21,Established
430,Blind Squirrel Entertainment,2020,Canada,Indie,0.352,5,Emerging
431,Blit Interactive,2002,United States,Indie,0.409,23,Established
432,BlitWise Productions,1990,Japan,AAA,0.946,35,Veteran
433,BlitWorks,2009,United States,Indie,0.665,16,Established
434,Blitz Games,1999,China,Mobile,0.689,26,Established
435,Blitz Games Studios,2010,Finland,Mobile,0.545,15,Established
436,Blizzard Entertainment,1991,United States,AAA,0.9,34,Veteran
437,Blizzard North,1991,United States,AAA,0.95,34,Veteran
438,Bloober Team,2011,Sweden,Indie,0.374,14,Emerging
